ChEMBL ID,Smiles
CHEMBL5864148,Cc1ccc2c(c1)nc1n2C[C@@](NC(=O)c2ccc(-n3cnc(C)n3)cc2Cl)(c2ccsc2)CC1
CHEMBL13423,O=C(Nc1ccccc1)Nc1cccc(NC(=O)c2cc(Cl)cc(Cl)c2)c1
CHEMBL4449023,NS(=O)(=O)c1ccc(NC(=O)CC2(CNCN3CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)CCCCC2)cc1
CHEMBL1469615,COc1ccc(C(CCN(Cc2ccc(OC)c(OC)c2)C(C)=O)c2ccccc2)cc1
CHEMBL3961083,CC(C)Cc1sc(-c2nccs2)nc1C(=O)NCCCCCCC(=O)NO
CHEMBL3684038,CN1CCCN(Cc2ccc(C(=O)Nc3sc(Nc4ccc5ccccc5c4)nc3C(N)=O)cc2)CC1
CHEMBL1765989,O=C(c1nnco1)[C@@H]1CCc2cc(Oc3ccccc3)ccc2C1
CHEMBL4162855,CCCCC/C=C\CCC(O)CCCCCCCC(=O)Nn1c(C)ccc1C
CHEMBL3342086,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12
CHEMBL42187,CCN(CC)CCCCNc1ncc(C)c2c1c1cnccc1n2C
CHEMBL5566711,Nc1ncnc2c1c(-c1ccc3[nH]ccc3c1)nn2CCC1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1
CHEMBL3462899,O=C(NC1CCN(c2cc(-n3ccnc3)ncn2)CC1)c1ccncc1
CHEMBL2008330,C[n+]1c(-c2ccc(/C=N/NC(=O)C(=O)N/N=C/c3ccc(-c4cn5ccccc5[n+]4C)cc3)cc2)cn2ccccc21
CHEMBL4455581,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)Nc1ccccn1
CHEMBL1456739,Cc1ccccc1NC(=O)C1CCCN(C(=O)NCc2ccccc2)C1
CHEMBL1984947,Cc1cc([N+](=O)[O-])ccc1Sc1c2ccccc2nc2cc(Cl)ccc12
CHEMBL1956773,NS(=O)(=O)c1ccc(CCNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1
CHEMBL151440,Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(CC(C)C)cc2CNC=O)c1C
